id,description,factors
101,Surcharge on Roof and int LL,1:1.35 2:1.35 3:1.35 4:1.35 5:1.35 22:1.35 23:1.35 24:1.35 25:1.35 43:1.35 54:1.35 45:1.35 46:1.35 47:1.35
102,Surcharge on Roof and w/o int LL,1:1.35 2:1.35 3:1.35 4:1.35 5:1.35 22:1.35 23:1.35 24:1.35 25:1.35 45:1.35 46:1.35 47:1.35
103,GWT = +1.0m with int LL (no surcharge),1:1.35 2:1.35 6:1.35 7:1.35 8:1.35 26:1.00 27:1.00 28:1.00 29:1.00 43:1.50 54:1.50
104,GWT = +1.0m without int LL (no surcharge),1:1.35 2:1.35 6:1.35 7:1.35 8:1.35 26:1.00 27:1.00 28:1.00 29:1.00
105,GWT = FEL, surcharge on Roof and int LL Not Applicable to Top down construction,1:1.35 2:1.35 19:1.35 20:1.35 21:1.35 43:1.50 44:1.50 54:1.50 45:1.50 46:1.50 47:1.50
106,GWT = FEL, surcharge on Roof and w/o int LL Not Applicable to Top down construction,1:1.35 2:1.35 19:1.35 20:1.35 21:1.35 44:1.50 54:1.50 45:1.50 46:1.50 47:1.50
201,GWT = -5.0m surcharge on Roof and int LL,1:1.35 2:1.35 9:1.35 10:1.00 11:1.00 30:1.20 31:1.20 32:1.00 33:1.00 43:1.50 45:1.50
202,GWT = -5.0m surcharge on Roof and w/o int LL,1:1.35 2:1.35 9:1.35 10:1.00 11:1.00 30:1.20 31:1.20 32:1.00 33:1.00 45:1.50
301,GWT = GL 1.5m top excavation, with int LL (no top surcharge),1:1.35 2:1.35 4:1.35 5:1.35 12:1.00 23:1.00 24:1.35 25:1.35 34:1.00 43:1.50 44:1.50 54:1.50 46:1.50 47:1.50
302,GWT = GL 1.5m top excavation, no top surcharge w/o int LL,1:1.35 2:1.35 4:1.35 5:1.35 12:1.00 23:1.00 24:1.35 25:1.35 34:1.00 44:1.50 54:1.50 46:1.50 47:1.50
401,GWT = -1.5m / -4.5m surcharge on top and int LL,1:1.35 2:1.35 13:1.35 16:1.35 17:1.35 35:1.20 38:1.20 39:1.20 40:1.20 43:1.50 44:1.50 54:1.50 45:1.50 46:1.50
402,GWT = -1.5m/-4.5m w/o surcharge on top and int LL,1:1.35 2:1.35 13:1.35 16:1.35 17:1.35 35:1.20 38:1.20 39:1.20 40:1.20 46:1.50
403,GWT = -4.5m/-1.5m surcharge on top and int LL,1:1.35 2:1.35 14:1.35 15:1.35 18:1.35 36:1.20 37:1.20 41:1.20 42:1.20 43:1.50 44:1.50 54:1.50 45:1.50 47:1.50
404,GWT = -4.5m/-1.5m w/o surcharge on top and int LL,1:1.35 2:1.35 14:1.35 15:1.35 18:1.35 36:1.20 37:1.20 41:1.20 42:1.20 47:1.50
501,GWT = GL Surcharge on Roof and int LL (alt),2:1.50 43:1.50 54:1.50 45:1.50 46:1.50 47:1.50 50:1.35 51:1.35
502,GWT = +1.0m Surcharge on int LL (No surcharge on top),2:1.35 26:1.00 27:1.00 28:1.00 29:1.00 43:1.50 54:1.50 50:1.35 51:1.35
601,1.5m top excavation (no surcharge on top) with int LL,2:1.35 12:1.00 34:1.00 43:1.50 44:1.50 54:1.50 46:1.50 47:1.50 50:1.35 51:1.35
1001,Surcharge on Roof and int LL,1:1.00 2:1.00 3:1.00 4:1.00 5:1.00 22:1.00 23:1.00 24:1.00 25:1.00 43:1.00 54:1.00 45:1.00 46:1.00 47:1.00
1002,Surcharge on Roof and w/o int LL,1:1.00 2:1.00 3:1.00 4:1.00 5:1.00 22:1.00 23:1.00 24:1.00 25:1.00 45:1.00 46:1.00 47:1.00
1003,GWT = +1.0m with int LL (no surcharge),1:1.00 2:1.00 6:1.00 7:1.00 8:1.00 26:1.00 27:1.00 28:1.00 29:1.00 43:1.00 54:1.00
1004,GWT = +1.0m without int LL (no surcharge),1:1.00 2:1.00 6:1.00 7:1.00 8:1.00 26:1.00 27:1.00 28:1.00 29:1.00
1005,GWT = FEL, surcharge on Roof and int LL Not Applicable to Top down construction,1:1.00 2:1.00 19:1.00 20:1.00 21:1.00 43:1.00 44:1.00 54:1.00 45:1.00 46:1.00 47:1.00
1006,GWT = FEL, surcharge on Roof and w/o int LL Not Applicable to Top down construction,1:1.00 2:1.00 19:1.00 20:1.00 21:1.00 44:1.00 54:1.00 45:1.00 46:1.00 47:1.00
2001,GWT = -5.0m surcharge on Roof and int LL,1:1.00 2:1.00 9:1.00 10:1.00 11:1.00 30:1.00 31:1.00 32:1.00 33:1.00 43:1.00 45:1.00
2002,GWT = -5.0m surcharge on Roof and w/o int LL,1:1.00 2:1.00 9:1.00 10:1.00 11:1.00 30:1.00 31:1.00 32:1.00 33:1.00 45:1.00
3001,GWT = GL 1.5m top excavation, with int LL (no top surcharge),1:1.00 2:1.00 4:1.00 5:1.00 12:1.00 23:1.00 24:1.00 25:1.00 34:1.00 43:1.00 44:1.00 54:1.00 46:1.00 47:1.00
3002,GWT = GL 1.5m top excavation, no top surcharge w/o int LL,1:1.00 2:1.00 4:1.00 5:1.00 12:1.00 23:1.00 24:1.00 25:1.00 34:1.00 44:1.00 54:1.00 46:1.00 47:1.00
